"","codprov","depto","coddepto","circuito","mesa","electores","blancos","nulos","0060","0064","0181","0185","0186","0188","0501","0505","0542","0543"
"181","23","Capital","001","0008 ","0181",328,1,3,5,15,12,2,5,0,48,17,6,120
"182","23","Capital","001","0008 ","0182",326,1,3,6,22,14,2,6,2,47,19,5,119
"183","23","Capital","001","0008 ","0183",328,4,4,1,18,10,3,12,1,42,17,6,131
"184","23","Capital","001","0008 ","0184",328,2,2,1,17,19,1,5,2,53,21,11,110
"185","23","Capital","001","0008 ","0185",327,2,5,1,15,20,1,9,1,54,19,7,126
"186","23","Capital","001","0008 ","0186",328,1,4,1,18,21,1,7,2,34,24,12,120
"187","23","Capital","001","0008 ","0187",326,2,4,2,19,20,4,3,5,45,18,13,130
"188","23","Capital","001","0008 ","0188",327,4,6,2,24,28,2,6,2,45,17,9,105
"189","23","Capital","001","0008 ","0189",327,1,3,2,12,24,1,3,2,47,19,11,131
"190","23","Capital","001","0008 ","0190",328,6,3,0,18,27,3,4,2,54,18,10,106
"191","23","Capital","001","0008 ","0191",326,0,3,3,15,23,3,8,0,49,16,14,108
"192","23","Capital","001","0008 ","0192",328,1,2,2,9,9,1,6,0,68,22,6,114
"193","23","Capital","001","0008A","0193",338,1,3,2,15,18,1,6,0,86,18,14,100
"194","23","Capital","001","0008A","0194",338,84,1,1,16,25,0,8,3,53,23,8,114
"195","23","Capital","001","0008A","0195",340,2,4,1,22,22,4,6,3,72,19,7,101
"196","23","Capital","001","0008A","0196",340,1,4,3,11,18,1,8,1,72,15,11,110
"197","23","Capital","001","0008A","0197",339,4,9,2,10,30,4,8,0,45,20,8,110
"198","23","Capital","001","0008A","0198",338,6,5,5,14,29,3,7,0,47,32,16,94
"199","23","Capital","001","0008A","0199",339,4,0,0,15,12,1,9,4,67,33,1,115
"200","23","Capital","001","0008A","0200",339,8,9,1,16,30,2,11,2,50,16,10,110
"201","23","Capital","001","0008A","0201",339,5,5,2,15,28,2,5,2,51,16,17,97
"202","23","Capital","001","0008A","0202",339,7,7,1,23,27,2,6,0,51,18,9,128
"203","23","Capital","001","0008A","0203",339,3,2,2,18,24,4,5,5,62,19,8,105
"204","23","Capital","001","0008A","0204",339,1,4,0,14,29,3,5,4,61,24,10,113
"205","23","Capital","001","0008A","0205",339,3,5,2,16,20,2,10,2,52,18,11,126
"206","23","Capital","001","0008A","0206",338,3,9,1,12,30,2,10,2,61,22,15,106
"207","23","Capital","001","0008A","0207",340,3,2,1,13,30,2,12,3,58,32,10,96
"208","23","Capital","001","0008A","0208",337,2,9,3,11,31,10,5,2,57,12,5,110
"209","23","Capital","001","0008A","0209",340,4,5,2,14,33,1,5,3,63,21,16,103
"210","23","Capital","001","0008A","0210",338,6,5,2,12,27,0,9,2,54,22,13,96
"211","23","Capital","001","0008A","0211",338,7,8,3,12,23,2,2,5,45,13,13,121
"212","23","Capital","001","0008A","0212",338,3,6,1,14,21,2,7,0,61,26,13,106
"213","23","Capital","001","0008A","0213",338,7,4,1,11,22,4,8,2,55,28,9,104
"214","23","Capital","001","0008A","0214",338,3,3,2,18,30,2,3,3,68,20,10,101
"215","23","Capital","001","0008A","0215",339,0,0,1,20,21,5,9,12,50,14,16,124
"216","23","Capital","001","0009 ","0216",343,2,4,2,8,23,7,8,2,104,25,13,77
"217","23","Capital","001","0009 ","0217",342,5,8,2,8,21,4,10,3,87,9,9,104
"218","23","Capital","001","0009 ","0218",343,4,6,1,14,31,5,10,0,96,12,16,78
"219","23","Capital","001","0009 ","0219",341,3,5,2,14,26,0,11,2,91,23,21,73
"220","23","Capital","001","0009 ","0220",343,3,1,2,8,18,1,7,3,80,19,18,104
"221","23","Capital","001","0009 ","0221",343,3,3,2,13,28,2,12,3,92,11,5,98
"222","23","Capital","001","0009 ","0222",343,4,3,1,15,22,6,5,2,101,13,11,85
"223","23","Capital","001","0009 ","0223",341,4,6,6,6,25,6,5,3,92,12,12,84
"224","23","Capital","001","0009 ","0224",343,3,4,0,16,20,7,9,4,87,17,24,93
"225","23","Capital","001","0009 ","0225",342,0,0,5,10,41,3,13,2,72,11,24,92
"226","23","Capital","001","0009 ","0226",342,3,4,6,15,27,2,3,1,97,19,18,73
"227","23","Capital","001","0009 ","0227",342,4,5,3,8,21,5,5,2,91,21,14,79
